time_point,simulation,pair_distance_in_cell_diameter,heterogeneity_std,left_cell_fiber_density,left_cell_fiber_density_z_score,right_cell_fiber_density,right_cell_fiber_density_z_score
9,5D_14_heterogeneity,5.0,0.5,366.53811852217916,-0.663845966663795,389.56911159355406,0.43808889690601527
10,5D_14_heterogeneity,5.0,0.5,367.5913775815025,-0.6134520095190779,389.5755933492751,0.4383990212929239
11,5D_14_heterogeneity,5.0,0.5,369.2732703012664,-0.5329806108716799,389.6149754789252,0.44028328835551167
12,5D_14_heterogeneity,5.0,0.5,371.2777464767869,-0.43707496867223783,389.6983288764222,0.4442713931851325
13,5D_14_heterogeneity,5.0,0.5,371.5381140252837,-0.4246174911270159,389.96554375626926,0.4570564863530899
14,5D_14_heterogeneity,5.0,0.5,372.744195467971,-0.36691163424611706,390.2412011315884,0.4702455169486426
15,5D_14_heterogeneity,5.0,0.5,373.7238837911833,-0.32003772327604824,390.81569493123146,0.49773259684873544
16,5D_14_heterogeneity,5.0,0.5,375.5225920021986,-0.23397720122367768,391.11883898591844,0.5122367479076266
17,5D_14_heterogeneity,5.0,0.5,378.7828128665557,-0.07798952747295693,391.706751555976,0.540365858783116
18,5D_14_heterogeneity,5.0,0.5,382.95609622830386,0.12168429543231048,392.7201860900565,0.5888543821215606
19,5D_14_heterogeneity,5.0,0.5,386.71185491250685,0.301381341949258,393.31563851777594,0.6173442430523464
20,5D_14_heterogeneity,5.0,0.5,389.2746636526617,0.42400081783056576,394.6839287791591,0.6828111005963721
21,5D_14_heterogeneity,5.0,0.5,391.0353260927607,0.5082410118903878,395.73261284828953,0.7329861639583318
22,5D_14_heterogeneity,5.0,0.5,391.97274619732104,0.5530925687392392,397.7778518363894,0.8308421330142481
23,5D_14_heterogeneity,5.0,0.5,394.37497023336084,0.6680287509183608,400.1385934630673,0.9437935586976738
24,5D_14_heterogeneity,5.0,0.5,397.6609387858738,0.825248341814268,402.1131544151835,1.0382678849517488
25,5D_14_heterogeneity,5.0,0.5,399.4166034261573,0.9092494124528449,403.46975072240934,1.1031752366273573
26,5D_14_heterogeneity,5.0,0.5,400.5452779518808,0.9632516782545605,405.84617662034594,1.2168770878463244
27,5D_14_heterogeneity,5.0,0.5,403.33746755639527,1.096846050906075,408.33170335557656,1.3357989491571867
28,5D_14_heterogeneity,5.0,0.5,405.44798647425915,1.1978253863872004,409.7885740527541,1.4055040030364516
29,5D_14_heterogeneity,5.0,0.5,409.1814226884596,1.3764543978497936,412.117990467699,1.5169566508421564
30,5D_14_heterogeneity,5.0,0.5,411.5202563914,1.4883576227509097,414.2146516710494,1.617272953743469
31,5D_14_heterogeneity,5.0,0.5,412.6863750444283,1.5441514304624877,414.5520832591957,1.6334176171496793
32,5D_14_heterogeneity,5.0,0.5,415.37399254448445,1.6727424735874643,414.60579731616116,1.6359876058536227
33,5D_14_heterogeneity,5.0,0.5,417.0160637013066,1.751308580162075,416.1110567264279,1.7080078534282275
34,5D_14_heterogeneity,5.0,0.5,422.1246309026023,1.995731748739794,418.4360015143548,1.8192465529385768
35,5D_14_heterogeneity,5.0,0.5,425.6885371928097,2.1662494758523243,420.7209722074648,1.9285726623759782
36,5D_14_heterogeneity,5.0,0.5,426.16663285442513,2.189124315683279,422.357992681799,2.006897115318846
37,5D_14_heterogeneity,5.0,0.5,427.7463049238443,2.2647048918619057,425.10745177178,2.1384470149614563
38,5D_14_heterogeneity,5.0,0.5,429.9162062496737,2.3685254224845997,428.061032124459,2.2797632470876783
39,5D_14_heterogeneity,5.0,0.5,436.8359549522326,2.6996059068936225,431.35725117544,2.43747328064908
40,5D_14_heterogeneity,5.0,0.5,440.6216354359122,2.8807345839929694,433.6275933836704,2.5460994794295644
41,5D_14_heterogeneity,5.0,0.5,443.81417851367326,3.033484164088404,436.3607658944015,2.676870135666205
42,5D_14_heterogeneity,5.0,0.5,446.435216677708,3.1588896697366446,439.24995376434475,2.8151054619253446
43,5D_14_heterogeneity,5.0,0.5,448.5492014969334,3.2600348338267273,440.84342551617215,2.8913462940948733
44,5D_14_heterogeneity,5.0,0.5,453.4478204659155,3.4944128742584666,442.9418652404076,2.9917476916407244
45,5D_14_heterogeneity,5.0,0.5,458.1437363612682,3.7190924365093996,446.49358572325485,3.1616823798052915
46,5D_14_heterogeneity,5.0,0.5,462.6713760682305,3.9357207003156054,450.74072466151824,3.364889877284596
47,5D_14_heterogeneity,5.0,0.5,466.4288671884845,4.115500636514193,454.20969854552743,3.530865493349279
48,5D_14_heterogeneity,5.0,0.5,469.2948782479595,4.252627051168775,456.59178605982174,3.64483822878194
49,5D_14_heterogeneity,5.0,0.5,472.20852266597984,4.392032519022989,466.22233187504764,4.105618801991076
50,5D_14_heterogeneity,5.0,0.5,478.43627584102063,4.690003966629149,473.97053479319237,4.476337289859012
0,5D_15_heterogeneity,5.0,0.5,391.79511435894585,0.6028525569361419,329.075685811186,-3.6341979192655742
1,5D_15_heterogeneity,5.0,0.5,392.6061119671578,0.6576400108660873,329.46912757007027,-3.60761871358023
2,5D_15_heterogeneity,5.0,0.5,392.89540006037896,0.6771830501048589,330.05364865545613,-3.568131023712358
